Date,Adj_Close,Close,High,Low,Open,Volume
1996-01-01 00:00:00+00:00,7.302499294,8.831999779,8.833333015,8.773332596,8.778665543,208125
1996-01-02 00:00:00+00:00,7.209896088,8.720000267,9.013333321,8.399999619,8.831999779,1623750
1996-01-03 00:00:00+00:00,7.159183025,8.658665657,8.880000114,8.626666069,8.720000267,721875
1996-01-04 00:00:00+00:00,7.084218025,8.56799984,8.65333271,8.399999619,8.658665657,620625
1996-01-05 00:00:00+00:00,7.066579819,8.546666145,8.640000343,8.506666183,8.56799984,350625
1996-01-08 00:00:00+00:00,6.945310593,8.399999619,8.520000458,8.373332977,8.546666145,645000
1996-01-09 00:00:00+00:00,6.964052677,8.422665596,8.493332863,8.295999527,8.399999619,903750
1996-01-10 00:00:00+00:00,7.021379948,8.491999626,8.613332748,8.42666626,8.422665596,455625
1996-01-11 00:00:00+00:00,7.093036175,8.578665733,8.613332748,8.486665726,8.491999626,110625
1996-01-12 00:00:00+00:00,7.216509342,8.727999687,8.800000191,8.659999847,8.800000191,543750
1996-01-15 00:00:00+00:00,7.183437347,8.687999725,8.71333313,8.520000458,8.727999687,436875
1996-01-16 00:00:00+00:00,7.398409367,8.947999954,9.333333015,8.693332672,8.687999725,746250
1996-01-17 00:00:00+00:00,7.201076031,8.70933342,8.826665878,8.699999809,8.947999954,270000
1996-01-18 00:00:00+00:00,7.188949585,8.694665909,8.746665955,8.586666107,8.70933342,163125
1996-01-19 00:00:00+00:00,7.210997581,8.72133255,8.772000313,8.659999847,8.694665909,183750
1996-01-22 00:00:00+00:00,7.298088551,8.826665878,8.853333473,8.686665535,8.72133255,318750
1996-01-23 00:00:00+00:00,7.031301022,8.50399971,8.826665878,8.399999619,8.826665878,376875
1996-01-24 00:00:00+00:00,6.639938831,8.030666351,8.505332947,7.893332958,8.50399971,556875
1996-01-25 00:00:00+00:00,6.549538612,7.921332836,8.133333206,7.894666195,8.030666351,245625
1996-01-26 00:00:00+00:00,6.549538612,7.921332836,7.921332836,7.921332836,7.921332836,0
1996-01-29 00:00:00+00:00,6.676316738,8.074666023,8.119999886,7.840000153,7.921332836,298125
1996-01-30 00:00:00+00:00,6.566075802,7.941332817,8.253333092,7.840000153,8.074666023,451875
1996-01-31 00:00:00+00:00,6.675216198,8.073332787,8.133333206,8.001333237,7.941332817,183750
1996-02-01 00:00:00+00:00,6.872550964,8.312000275,8.333333015,7.894666195,8.073332787,198750
1996-02-02 00:00:00+00:00,6.969565868,8.429332733,8.640000343,8.017333031,8.312000275,221250
1996-02-05 00:00:00+00:00,7.000433445,8.466666222,8.666666031,8.293333054,8.429332733,851250
1996-02-06 00:00:00+00:00,7.073194027,8.554665565,8.800000191,8.533332825,8.466666222,211875
1996-02-07 00:00:00+00:00,7.300295353,8.829333305,8.853333473,8.43466568,8.554665565,549375
1996-02-08 00:00:00+00:00,7.357620239,8.898666382,8.933333397,8.720000267,8.800000191,225000
1996-02-09 00:00:00+00:00,7.657483578,9.261333466,9.493332863,8.960000038,8.898666382,450000
1996-02-12 00:00:00+00:00,7.541728497,9.121333122,9.386666298,9.119999886,9.261333466,226875
1996-02-13 00:00:00+00:00,7.589130878,9.178666115,9.199999809,8.906665802,9.121333122,159375
1996-02-14 00:00:00+00:00,7.656381607,9.260000229,9.600000381,9.199999809,9.178666115,185625
1996-02-15 00:00:00+00:00,7.562673092,9.146665573,9.278665543,9.117333412,9.260000229,133125
1996-02-16 00:00:00+00:00,7.559365273,9.142665863,9.199999809,9.042666435,9.146665573,178125
1996-02-19 00:00:00+00:00,7.777647018,9.406665802,9.986665726,9.118665695,9.142665863,487500
1996-02-20 00:00:00+00:00,7.790875435,9.422665596,9.600000381,9.359999657,9.406665802,226875
1996-02-21 00:00:00+00:00,7.790875435,9.422665596,9.422665596,9.422665596,9.422665596,0
1996-02-22 00:00:00+00:00,8.058769226,9.746665955,9.868000031,9.453332901,9.422665596,414375
1996-02-23 00:00:00+00:00,8.288072586,10.02400017,10.13333321,9.880000114,9.746665955,403125
1996-02-26 00:00:00+00:00,8.729045868,10.55733299,10.61333275,10.02666569,10.02400017,843750
1996-02-27 00:00:00+00:00,8.35091114,10.10000038,10.4533329,9.986665726,10.55733299,618750
1996-02-28 00:00:00+00:00,8.245079041,9.972000122,10.3866663,9.947999954,10.10000038,588750
1996-02-29 00:00:00+00:00,8.042229652,9.726666451,9.893333435,9.680000305,9.972000122,384375
1996-03-01 00:00:00+00:00,8.076406479,9.767999649,9.86666584,9.586666107,9.726666451,206250
1996-03-04 00:00:00+00:00,8.258308411,9.987999916,10.07999992,9.733332634,9.786665916,352500
1996-03-05 00:00:00+00:00,8.258308411,9.987999916,9.987999916,9.987999916,9.987999916,0
1996-03-06 00:00:00+00:00,8.345399857,10.09333324,10.23999977,9.86666584,9.987999916,566250
1996-03-07 00:00:00+00:00,8.365242958,10.11733341,10.27999973,10,10.09333324,1591875
1996-03-08 00:00:00+00:00,8.271537781,10.00399971,10.10666561,9.949333191,10.11733341,1136250
1996-03-11 00:00:00+00:00,8.142550468,9.847999573,9.892000198,9.733332634,10.00399971,210000
1996-03-12 00:00:00+00:00,8.087431908,9.78133297,9.86666584,9.733332634,9.847999573,159375
1996-03-13 00:00:00+00:00,8.210902214,9.93066597,9.960000038,9.779999733,9.78133297,76875
1996-03-14 00:00:00+00:00,8.368552208,10.12133312,10.17866611,9.973333359,9.93066597,320625
1996-03-15 00:00:00+00:00,8.381777763,10.13733292,10.26666641,10.03199959,10.12133312,435000
1996-03-18 00:00:00+00:00,8.378471375,10.13333321,10.19866562,10.02666569,10.13733292,510000
1996-03-19 00:00:00+00:00,8.399416924,10.15866566,10.26399994,10.02666569,10.13333321,427500
1996-03-20 00:00:00+00:00,8.399416924,10.15866566,10.15866566,10.15866566,10.15866566,0
1996-03-21 00:00:00+00:00,8.565883636,10.35999966,10.39999962,10.26666641,10.15866566,185625
1996-03-22 00:00:00+00:00,8.531710625,10.31866646,10.37199974,10.15999985,10.35999966,298125
1996-03-25 00:00:00+00:00,8.483203888,10.26000023,10.39999962,10.23999977,10.31866646,245625
1996-03-26 00:00:00+00:00,8.523993492,10.30933285,10.3866663,10.22666645,10.26000023,206250
1996-03-27 00:00:00+00:00,8.716918945,10.54266644,10.56000042,10.31999969,10.30933285,399375
1996-03-28 00:00:00+00:00,8.79739666,10.64000034,10.66666603,10.56666565,10.54266644,67500
1996-03-29 00:00:00+00:00,8.732354164,10.5613327,10.79333305,10.54666615,10.64000034,163125
1996-04-01 00:00:00+00:00,8.818340302,10.66533279,10.76000023,10.61333275,10.5613327,71250
1996-04-02 00:00:00+00:00,8.745581627,10.57733345,10.70666599,10.56000042,10.66533279,163125
1996-04-03 00:00:00+00:00,8.843698502,10.6960001,10.79733276,10.67733288,10.57733345,125625
1996-04-04 00:00:00+00:00,8.777550697,10.61600018,10.69200039,10.60000038,10.6960001,54375
1996-04-05 00:00:00+00:00,8.777550697,10.61600018,10.61600018,10.61600018,10.61600018,0
1996-04-08 00:00:00+00:00,8.918661118,10.78666592,10.85200024,10.69333267,10.69333267,105000
1996-04-09 00:00:00+00:00,8.822750092,10.67066574,10.9066658,10.65999985,10.78666592,140625
1996-04-10 00:00:00+00:00,8.907636642,10.7733326,10.798666,10.68000031,10.67066574,112500
1996-04-11 00:00:00+00:00,8.950632095,10.82533264,10.82666588,10.64000034,10.7733326,153750
1996-04-12 00:00:00+00:00,8.990319252,10.87333298,10.88000011,10.66933346,10.66933346,180000
